Sample_1	Site_1	Mass_1	C1	H1	O1	N1	S1	P1	MolForm_1	El_comp_1	Class_1
NOM_after	NOM	117.001574	4	5	2	0	1	0	C4H5O2S	CHOS	Proteins
NOM_after	NOM	121.029503	7	5	2	0	0	0	C7H5O2	CHO	Lignins
NOM_after	NOM	135.045153	8	7	2	0	0	0	C8H7O2	CHO	Lignins
NOM_after	NOM	135.045153	8	7	2	0	0	0	C8H7O2	CHO	Lignins
NOM_after	NOM	137.024418	7	5	3	0	0	0	C7H5O3	CHO	Lignins
NOM_after	NOM	141.066951	6	9	2	2	0	0	C6H9N2O2	CHON	Proteins
NOM_after	NOM	145.050632	6	9	4	0	0	0	C6H9O4	CHO	Proteins
NOM_after	NOM	146.024752	8	4	2	1	0	0	C8H4NO2	CHON	Condensed Aromatics
NOM_after	NOM	147.045153	9	7	2	0	0	0	C9H7O2	CHO	Lignins
NOM_after	NOM	148.970274	7	1	2	0	1	0	C7HO2S	CHOS	Condensed Aromatics
NOM_after	NOM	148.981507	6	1	1	2	1	0	C6HN2OS	CHONS	Condensed Aromatics
NOM_after	NOM	149.027789	5	9	3	0	1	0	C5H9O3S	CHOS	Proteins
NOM_after	NOM	149.045547	5	9	5	0	0	0	C5H9O5	CHO	Carbohydrates
NOM_after	NOM	149.060803	9	9	2	0	0	0	C9H9O2	CHO	Lignins
NOM_after	NOM	149.097189	10	13	1	0	0	0	C10H13O	CHO	Lignins
NOM_after	NOM	151.040068	8	7	3	0	0	0	C8H7O3	CHO	Lignins
NOM_after	NOM	152.035317	7	6	3	1	0	0	C7H6NO3	CHON	Lignins
NOM_after	NOM	153.055718	8	9	3	0	0	0	C8H9O3	CHO	Lignins
NOM_after	NOM	153.092103	9	13	2	0	0	0	C9H13O2	CHO	Lipids
NOM_after	NOM	153.128489	10	17	1	0	0	0	C10H17O	CHO	Lipids
NOM_after	NOM	157.065888	11	9	1	0	0	0	C11H9O	CHO	
NOM_after	NOM	157.087018	8	13	3	0	0	0	C8H13O3	CHO	Proteins
NOM_after	NOM	157.123403	9	17	2	0	0	0	C9H17O2	CHO	Lipids
NOM_after	NOM	159.066282	7	11	4	0	0	0	C7H11O4	CHO	Proteins
NOM_after	NOM	159.102668	8	15	3	0	0	0	C8H15O3	CHO	Proteins
NOM_after	NOM	160.040402	9	6	2	1	0	0	C9H6NO2	CHON	Lignins
NOM_after	NOM	161.024418	9	5	3	0	0	0	C9H5O3	CHO	Condensed Aromatics
NOM_after	NOM	161.035651	8	5	2	2	0	0	C8H5N2O2	CHON	Lignins
NOM_after	NOM	161.060803	10	9	2	0	0	0	C10H9O2	CHO	Lignins
NOM_after	NOM	162.019667	8	4	3	1	0	0	C8H4NO3	CHON	Condensed Aromatics
NOM_after	NOM	163.040068	9	7	3	0	0	0	C9H7O3	CHO	Lignins
NOM_after	NOM	163.076453	10	11	2	0	0	0	C10H11O2	CHO	Lignins
NOM_after	NOM	164.035317	8	6	3	1	0	0	C8H6NO3	CHON	Lignins
NOM_after	NOM	165.019332	8	5	4	0	0	0	C8H5O4	CHO	Lignins
NOM_after	NOM	165.055718	9	9	3	0	0	0	C9H9O3	CHO	Lignins
NOM_after	NOM	165.092103	10	13	2	0	0	0	C10H13O2	CHO	Lignins
NOM_after	NOM	166.050967	8	8	3	1	0	0	C8H8NO3	CHON	Lignins
NOM_after	NOM	166.087352	9	12	2	1	0	0	C9H12NO2	CHON	Lignins
NOM_after	NOM	167.013853	11	3	2	0	0	0	C11H3O2	CHO	Condensed Aromatics
NOM_after	NOM	167.034982	8	7	4	0	0	0	C8H7O4	CHO	Lignins
NOM_after	NOM	167.071368	9	11	3	0	0	0	C9H11O3	CHO	Lignins
NOM_after	NOM	168.030231	7	6	4	1	0	0	C7H6NO4	CHON	Lignins
NOM_after	NOM	168.103002	9	14	2	1	0	0	C9H14NO2	CHON	Lipids
NOM_after	NOM	169.050632	8	9	4	0	0	0	C8H9O4	CHO	Lignins
